Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
18,20250421215401,20241120205715,12.597777777777782,12.847777777777782,19.31083333333334,l,No,12.57-13.23,6.463055555555556
18,20250422043648,DelayCal,19.31083333333334,19.31083333333334,19.56083333333334,l,No,,0.25
18,20250422043648,20250217152249,19.31083333333334,19.56083333333334,0.16083333333333627,l,No,17.75-20.75,4.599999999999998
19,20250422092748,DelayCal,0.16083333333333627,0.16083333333333627,0.41083333333333627,u,No,,0.25
19,20250422092748,20241208222339,0.16083333333333627,0.41083333333333627,4.341944444444447,u,No,23.00-0.50,3.931111111111111
19,20250422133840,DelayCal,4.341944444444447,4.341944444444447,4.591944444444447,s,No,,0.25
19,20250422133840,20250208190117,4.341944444444447,4.591944444444447,9.384444444444448,s,No,1.50-6.25,4.7925
19,20250422184113,DelayCal,9.384444444444448,9.384444444444448,9.634444444444448,l,Yes,,0.25
19,20250422184113,20241216083631,9.384444444444448,9.634444444444448,18.206388888888892,l,Yes,8.17-10.33,8.571944444444444
19,20250423033032,DelayCal,18.206388888888892,18.206388888888892,18.456388888888892,l,No,,0.25
19,20250423033032,20250217144205,18.206388888888892,18.456388888888892,23.15277777777778,l,No,16.75-23.00,4.6963888888888885
19,20250423082719,DelayCal,23.15277777777778,23.15277777777778,23.40277777777778,s,No,,0.25
19,20250423082719,20241217170821,23.15277777777778,23.40277777777778,0.16083333333333627,s,No,21.75-3.50,0.7580555555555559
20,20250423092748,DelayCal,0.16083333333333627,0.16083333333333627,0.41083333333333627,l,No,,0.25
20,20250423092748,20250115161331,0.16083333333333627,0.41083333333333627,4.329722222222225,l,No,23.50-1.00,3.918888888888889
20,20250423133756,DelayCal,4.329722222222225,4.329722222222225,4.579722222222225,l,No,,0.25
20,20250423133756,20250217171530,4.329722222222225,4.579722222222225,9.285555555555558,l,No,1.50-6.00,4.7058333333333335
20,20250423183517,DelayCal,9.285555555555558,9.285555555555558,9.535555555555558,l,Yes,,0.25
20,20250423183517,20241216082220,9.285555555555558,9.535555555555558,18.106944444444444,l,Yes,8.17-10.25,8.571388888888889
20,20250424032434,DelayCal,18.106944444444444,18.106944444444444,18.356944444444444,l,No,,0.25
20,20250424032434,20241120153849,18.106944444444444,18.356944444444444,0.16083333333333627,l,No,18.13-18.37,5.80388888888889
21,20250424092748,DelayCal,0.16083333333333627,0.16083333333333627,0.41083333333333627,l,No,,0.25
21,20250424092748,20250217151420,0.16083333333333627,0.41083333333333627,3.8872222222222232,l,No,0.11-3.00,3.476388888888887
21,20250424131123,DelayCal,3.8872222222222232,3.8872222222222232,4.137222222222223,l,No,,0.25
21,20250424131123,20250217163442,3.8872222222222232,4.137222222222223,8.762777777777778,l,No,1.50-6.00,4.625555555555556
21,20250424180355,DelayCal,8.762777777777778,8.762777777777778,9.012777777777778,l,Yes,,0.25
21,20250424180355,20241216150457,8.762777777777778,9.012777777777778,17.561944444444443,l,Yes,8.17-10.33,8.549166666666666
21,20250425025152,DelayCal,17.561944444444443,17.561944444444443,17.811944444444443,l,No,,0.25
21,20250425025152,20250217172130,17.561944444444443,17.811944444444443,22.08833333333333,l,No,17.00-22.50,4.276388888888889
21,20250425072327,DelayCal,22.08833333333333,22.08833333333333,22.33833333333333,l,No,,0.25
21,20250425072327,20241203211348,22.08833333333333,22.33833333333333,0.16083333333333272,l,No,0.11-23.50,1.8225000000000016
22,20250425092748,DelayCal,0.16083333333333272,0.16083333333333272,0.4108333333333327,l,No,,0.25
22,20250425092748,20241122143544,0.16083333333333272,0.4108333333333327,3.5763888888888875,l,No,0.11-20.02,3.165555555555555
22,20250425125244,DelayCal,3.5763888888888875,3.5763888888888875,3.8263888888888875,l,No,,0.25
22,20250425125244,20241120194442,3.5763888888888875,3.8263888888888875,10.300277777777776,l,No,2.75-3.83,6.473888888888889
22,20250425193610,DelayCal,10.300277777777776,10.300277777777776,10.550277777777776,l,No,,0.25
