Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
16,20241122153545,0.0,3.0347222222222214,l,No,0.00-20.00
16,20241202081517,3.0347222222222214,8.250277777777777,l,No,1.50-4.00
16,20241216155444,8.250277777777777,8.530555555555555,l,No,5.00-9.00
16,20241216155444,8.530555555555555,8.810833333333333,l,No,5.00-9.00
16,20241216155444,8.810833333333333,9.091111111111111,l,No,5.00-9.00
16,20250206213648,9.091111111111111,12.114722222222223,l,No,5.75-9.33
16,20241206084827,12.114722222222223,14.564166666666669,l,No,9.17-12.17
16,20250123142846,14.564166666666669,15.648611111111114,s,No,11.58-15.00
16,20250203212705,15.648611111111114,19.71027777777778,l,No,12.00-16.00
16,20241122153545,19.71027777777778,22.745,l,No,0.00-20.00
16,20250116182651,22.745,0.0,l,No,20.00-2.50
17,20250116182651,0.0,4.161666666666669,l,No,0.00-2.50
17,20241215101327,4.161666666666669,12.167222222222225,l,No,3.92-4.67
17,20241208155753,12.167222222222225,17.202500000000004,l,No,9.50-12.25
17,20250305141258,17.202500000000004,18.24055555555556,s,No,12.00-19.00
17,20250305141258,18.24055555555556,19.278611111111115,s,No,12.00-19.00
17,20241122143544,19.278611111111115,0.0,l,No,18.25-20.02
18,20241122143544,0.0,2.6122222222222247,l,No,0.00-20.02
18,20240711061336,2.6122222222222247,7.574444444444447,l,No,2.00-3.17
18,20241124175730,7.574444444444447,10.686388888888892,l,No,5.25-8.50
18,20241122131753,10.686388888888892,11.75666666666667,u,No,6.08-10.83
18,20250123162715,11.75666666666667,18.347500000000004,l,No,7.25-12.00
18,20241206083240,18.347500000000004,0.0,l,No,17.00-18.92
19,20241206083240,0.0,1.872500000000005,l,No,0.00-18.92
19,20250201223634,1.872500000000005,5.756111111111116,u,No,1.17-2.17
19,20241126081929,5.756111111111116,11.88055555555556,l,No,4.00-6.33
19,20250206214248,11.88055555555556,14.874722222222227,l,No,8.50-12.00
19,20250123142842,14.874722222222227,15.957222222222226,l,No,11.58-15.00
19,20250203212737,15.957222222222226,20.013888888888893,l,No,12.00-16.00
19,20241202185834,20.013888888888893,0.0,l,No,19.75-22.50
20,20241202185834,0.0,0.9777777777777832,l,No,0.00-22.50
20,20241202185834,0.9777777777777832,1.9555555555555664,l,No,0.00-22.50
20,20241203212553,1.9555555555555664,5.903611111111122,l,No,1.25-2.25
20,20241208152210,5.903611111111122,10.950277777777789,l,No,4.50-7.25
20,20241216155910,10.950277777777789,11.237500000000011,l,No,7.00-11.00
20,20241204014242,11.237500000000011,16.269722222222235,l,Yes,7.50-11.25
20,20241128081006,16.269722222222235,22.314722222222237,l,No,12.50-17.50
20,20241202185834,22.314722222222237,23.292500000000018,l,No,0.00-22.50
20,20241203233900,23.292500000000018,7.105427357601002e-15,l,No,20.00-11.00
21,20241203233900,7.105427357601002e-15,0.2583333333333533,l,No,0.00-11.00
21,20241203233900,0.2583333333333533,0.5166666666666995,l,No,0.00-11.00
21,20241203233900,0.5166666666666995,0.7750000000000457,l,No,0.00-11.00
21,20241203233900,0.7750000000000457,1.0333333333333918,l,No,0.00-11.00
21,20241203233900,1.0333333333333918,1.291666666666738,l,No,0.00-11.00
21,20241208212002,1.291666666666738,3.916944444444516,l,No,1.25-2.00
21,20241203233900,3.916944444444516,4.175277777777862,l,No,0.00-11.00
21,20241203233900,4.175277777777862,4.433611111111208,l,No,0.00-11.00
21,20241203233900,4.433611111111208,4.691944444444554,l,No,0.00-11.00
21,20241208152116,4.691944444444554,9.738611111111222,l,No,4.50-7.25
21,20250110142920,9.738611111111222,15.775000000000112,l,No,6.00-9.75
21,20250131154734,15.775000000000112,19.838611111111224,l,No,12.00-16.00
21,20241208154427,19.838611111111224,0.0,l,No,19.75-22.50
22,20241208154427,0.0,0.8052777777778903,l,No,0.00-22.50
22,20241208154427,0.8052777777778903,1.6105555555557807,l,No,0.00-22.50
22,20250115164637,1.6105555555557807,4.243055555555781,l,No,1.35-1.75
22,20241208154427,4.243055555555781,5.048333333333671,l,No,0.00-22.50
22,20241202191111,5.048333333333671,10.081388888889226,l,No,4.50-7.25
22,20250217121035,10.081388888889226,14.553055555555893,l,No,6.50-10.50
22,20250125155203,14.553055555555893,15.60611111111145,s,No,11.58-15.00
22,20250211005353,15.60611111111145,19.575555555555894,u,No,12.00-16.00
22,20241208154427,19.575555555555894,20.380833333333783,l,No,0.00-22.50
22,20241208154427,20.380833333333783,21.18611111111167,l,No,0.00-22.50
22,20241208154427,21.18611111111167,21.99138888888956,l,No,0.00-22.50
22,20241208154427,21.99138888888956,22.79666666666745,l,No,0.00-22.50
22,20241203225658,22.79666666666745,23.77805555555634,l,No,20.00-12.00
22,20241203225658,23.77805555555634,23.999999999999996,l,No,20.00-12.00
23,20241204054152,23.999999999999996,0.9847222222222172,l,No,20.00-5.00
23,20241204054152,0.9847222222222172,1.9694444444444394,l,No,20.00-5.00
23,20241204054152,1.9694444444444394,2.9541666666666617,l,No,20.00-5.00
23,20241203205103,2.9541666666666617,6.833333333333329,l,No,2.25-3.50
23,20241208152010,6.833333333333329,11.87694444444444,l,No,4.50-7.25
23,20241206084915,11.87694444444444,14.332222222222217,l,No,9.17-12.17
23,20250125155155,14.332222222222217,15.385277777777773,s,No,11.58-15.00
23,20241203110854,15.385277777777773,19.066111111111105,s,No,12.50-16.00
23,20241126043745,19.066111111111105,0.0,l,No,17.00-19.25
24,20241126043745,0.0,2.0513888888888845,l,No,0.00-19.25
24,20241126043745,2.0513888888888845,4.102777777777769,l,No,0.00-19.25
24,20241126043745,4.102777777777769,6.1541666666666535,l,No,0.00-19.25
24,20250204210830,6.1541666666666535,10.323611111111099,l,No,5.00-6.25
24,20250217174042,10.323611111111099,14.376388888888876,l,No,8.00-11.75
24,20250125155125,14.376388888888876,15.421944444444431,l,No,11.58-15.00
24,20241206085106,15.421944444444431,17.84333333333332,l,No,13.00-15.75
24,20241126043745,17.84333333333332,19.894722222222203,l,No,0.00-19.25
24,20241208154518,19.894722222222203,0.0,l,No,19.75-22.50
